Rank_PL_Dez25,Instituição,PL_202512,LL_202503,LL_202603,Delta_LL,Var_LL_pct,LL_202503_pct_PL_Dez25,LL_202603_pct_PL_Dez25,Delta_LL_pct_PL_Dez25
61,PARANÁ BANCO - PRUDENCIAL,1210832178.65,53522498.21000004,23297276.440000057,-30225221.76999998,-0.5647199361174954,0.04420306889239942,0.019240714651286375,-0.02496235424111305
26,BOFA MERRILL LYNCH - PRUDENCIAL,6160907993.46,336542179.5,306574253.6300049,-29967925.869995117,-0.08904656740061052,0.054625418827427746,0.049761212788024624,-0.004864206039403124
32,MERCADO PAGO IP - PRUDENCIAL,5156850061.66,-2767172.4499998093,-30454391.569999695,-27687219.119999886,-10.00559944140879,-0.0005366013005832966,-0.00590561897395876,-0.005369017673375463
55,SCANIA - PRUDENCIAL,1724352300.35,20601629.320000052,-5931153.069999933,-26532782.389999986,-1.2878972812233822,0.011947459527741774,-0.003439641115563252,-0.015387100643305026
90,CELCOIN IP - PRUDENCIAL,380628087.0,3741553.6400000006,-20204638.560000017,-23946192.200000018,-6.400066524236711,0.009829946259325841,-0.05308236373003135,-0.06291230998935719
39,BNP PARIBAS - PRUDENCIAL,4607532552.18,83510859.95999908,59702872.05000305,-23807987.909996033,-0.28508852526964557,0.018124855118058125,0.012957666901724944,-0.0051671882163331784
80,HAITONG - PRUDENCIAL,579476653.66,13275147.389999866,-9432103.589999914,-22707250.97999978,-1.7105083893158952,0.02290885630362061,-0.016276934593354768,-0.03918579089697538
125,EAGLE SCD - PRUDENCIAL,111046517.05,20699897.439999998,-703463.0600000024,-21403360.5,-1.0339838910815398,0.18640744428462916,-0.006334850283357018,-0.1927422945679862
16,BANRISUL - PRUDENCIAL,10222093570.09,241313883.92000008,221407096.6399994,-19906787.280000687,-0.08249333588530756,0.023607090100024923,0.02165966248712885,-0.001947427612896075
68,OMNI - PRUDENCIAL,882897997.95,405486.87000000477,-18171119.51999998,-18576606.389999986,-45.8130898048555,0.00045926808186393483,-0.02058122179707224,-0.021040489878936173
92,SENFFNET IP - PRUDENCIAL,361985903.65,20376049.86,5523464.379999995,-14852585.480000004,-0.7289236913950113,0.05628962248127035,0.015258783074991145,-0.0410308394062792
64,SOFISA - PRUDENCIAL,1083906369.21,52817539.899999976,38656914.57999992,-14160625.320000052,-0.2681045983362822,0.04872887677419571,0.03566444083927178,-0.013064435934923933
82,BCO TRIANGULO S.A. - PRUDENCIAL,528933101.54,8329197.539999992,-5616569.50999999,-13945767.049999982,-1.6743230044703679,0.015747166353834455,-0.010618676527612336,-0.02636584288144679
27,BCO DAYCOVAL S.A - PRUDENCIAL,6146488331.99,451812227.75,441285602.15999985,-10526625.590000153,-0.02329867352732388,0.07350737581303117,0.07179475146211305,-0.0017126243509181169
