Rank_PL_Dez25,Instituição,PL_202512,PL_202601,PL_202602,PL_202603,Delta_PL_Dez25_Jan26,Delta_PL_Jan26_Fev26,Delta_PL_Fev26_Mar26,Delta_PL_Dez25_Mar26,Delta_PL_pct_Dez25_Mar26,Maior_Mes_Aumento_PL,LL_Mensal_Jan26,LL_Mensal_Fev26,LL_Mensal_Mar26,LL_202603,Proxy_Capital_Outras_Jan26,Proxy_Capital_Outras_Fev26,Proxy_Capital_Outras_Mar26,Proxy_Capital_Outras_1T26,LL_202503,Delta_LL_Mar25_Mar26,Delta_LL_pct_Mar25_Mar26
27,BCO DAYCOVAL S.A - PRUDENCIAL,6146488331.99,7075348224.08,7075348224.08,6915336842.18,928859892.0900002,0.0,-160011381.89999962,768848510.1900005,0.12508744321346113,Dez25->Jan26,143994236.4699998,103959054.94000101,193332310.74999905,441285602.15999985,784865655.6200004,-103959054.94000101,-353343692.64999866,327562908.0300007,451812227.75,-10526625.590000153,-0.02329867352732388
26,BOFA MERRILL LYNCH - PRUDENCIAL,6160907993.46,6906372899.19,6912379842.33,6915769821.56,745464905.7299995,6006943.140000343,3389979.230000496,754861828.1000004,0.12252444427044037,Dez25->Jan26,109467543.70999908,23323983.599998474,173782726.32000732,306574253.6300049,635997362.0200005,-17317040.45999813,-170392747.09000683,448287574.4699955,336542179.5,-29967925.869995117,-0.08904656740061052
32,MERCADO PAGO IP - PRUDENCIAL,5156850061.66,5868969878.6,5848594312.61,5866962227.63,712119816.9400005,-20375565.990000725,18367915.020000458,710112165.9700003,0.13770269786386108,Dez25->Jan26,-149626674.07999992,22029749.25,97142533.26000023,-30454391.569999695,861746491.0200005,-42405315.240000725,-78774618.23999977,740566557.54,-2767172.4499998093,-27687219.119999886,-10.00559944140879
25,ABC-BRASIL - PRUDENCIAL,6234709987.89,6738132961.01,6681985577.27,6931939884.32,503422973.1199999,-56147383.73999977,249954307.04999924,697229896.4299994,0.11183036545152301,Dez25->Jan26,82864623.89999962,61642841.75,88522918.65000153,233030384.30000114,420558349.22000027,-117790225.48999977,161431388.3999977,464199512.1299982,228669603.710001,4360780.590000153,0.019070224110461567
51,MERCANTIL DO BRASIL - PRUDENCIAL,2057282618.37,2641695590.3,2775075089.76,2745599250.8,584412971.9300003,133379499.46000004,-29475838.96000004,688316632.4300003,0.33457563209052854,Dez25->Jan26,81532788.46000004,84076190.53999996,108101844.76999998,273710823.77,502880183.47000027,49303308.92000008,-137577683.73000002,414605808.6600003,241206499.61000013,32504324.159999847,0.134757248301995
20,STELLANTIS - PRUDENCIAL,7493915628.45,7955900181.16,8155110333.78,8134717276.72,461984552.71000004,199210152.6199999,-20393057.059999466,640801648.2700005,0.08550958938438707,Dez25->Jan26,125448754.70000005,74219928.69999981,117224347.38000035,316893030.7800002,336535798.01,124990223.92000008,-137617404.43999982,323908617.49000025,144363972.56000006,172529058.22000015,1.1950977460688414
15,XP - PRUDENCIAL,10924477962.31,12450204077.58,12227839469.83,11560198025.83,1525726115.2700005,-222364607.75,-667641444.0,635720063.5200005,0.05819226014398736,Dez25->Jan26,-47595040.39001465,-27896640.579986572,41992932.290008545,-33498748.679992676,1573321155.660015,-194467967.17001343,-709634376.2900085,669218812.1999931,256370333.76000977,-289869082.44000244,-1.1306654642473224
21,PAGSEGURO - PRUDENCIAL,6892381009.22,7847138780.34,7838105402.39,7499518907.8,954757771.1199999,-9033377.94999981,-338586494.59000015,607137898.5799999,0.08808826699624209,Dez25->Jan26,139074184.22000003,150012478.15000033,206818636.2800002,495905298.6500006,815683586.8999999,-159045856.10000014,-545405130.8700004,111232599.92999935,492037966.0600004,3867332.5900001526,0.007859825575997442
28,MORGAN STANLEY - PRUDENCIAL,5825368832.05,6408837729.81,6408844759.93,6408851602.54,583468897.7600002,7030.119999885559,6842.609999656677,583482770.4899998,0.10016237380194636,Dez25->Jan26,150659450.14999962,30698030.290000916,29738586.529996872,211096066.9699974,432809447.6100006,-30691000.17000103,-29731743.919997215,372386703.52000237,144405462.30999947,66690604.65999794,0.461828822768707
118,BULLLA IP - PRUDENCIAL,155818772.84,215950675.21,215950675.21,696428004.69,60131902.370000005,0.0,480477329.48,540609231.85,3.469474325825399,Fev26->Mar26,17932641.650000006,7196986.889999986,10384945.340000004,35514573.879999995,42199260.72,-7196986.889999986,470092384.14,505094657.97,-2597019.649999991,38111593.52999999,14.675127132750081
38,GOLDMAN SACHS - PRUDENCIAL,4678912160.64,5145491272.75,5182051224.78,5218780282.79,466579112.10999966,36559952.02999973,36729058.01000023,539868122.1499996,0.11538325653802278,Dez25->Jan26,59734231.07999992,116653588.23999977,115107643.95999908,291495463.2799988,406844881.02999973,-80093636.21000004,-78378585.94999886,248372658.87000084,357906885.77000046,-66411422.49000168,-0.18555502878108707
42,BMG - PRUDENCIAL,3595653292.41,3847156568.55,3814156508.14,4093855229.98,251503276.14000034,-33000060.410000324,279698721.84000015,498201937.5700002,0.13855672309164116,Fev26->Mar26,27881757.82000017,40077519.22999954,79132372.86000013,147091649.90999985,223621518.32000017,-73077579.63999987,200566348.98000002,351110287.6600003,114891423.35000038,32200226.559999466,0.2802665823183864
30,BANCO SICOOB - PRUDENCIAL,5501872621.27,5973597703.25,5972954619.87,5994751999.6,471725081.97999954,-643083.3800001144,21797379.730000496,492879378.3299999,0.08958393119181816,Dez25->Jan26,52097005.98000002,93884245.38999987,39156901.27999973,185138152.64999962,419628075.9999995,-94527328.76999998,-17359521.549999237,307741225.6800003,273528597.9499998,-88390445.30000019,-0.3231488259818364
14,VOTORANTIM - PRUDENCIAL,11739035534.91,12661535227.87,12656329602.48,12218018786.23,922499692.960001,-5205625.390001297,-438310816.25,478983251.3199997,0.0408026068151494,Dez25->Jan26,104971971.82000065,32270489.68999958,338945625.5100002,476188087.02000046,817527721.1400003,-37476115.08000088,-777256441.7600002,2795164.299999237,471799482.2900009,4388604.729999542,0.009301843038695832
36,SEM PARAR IP - PRUDENCIAL,4784762331.55,5258681812.0,5258681812.0,5258681812.0,473919480.4499998,0.0,0.0,473919480.4499998,0.09904765328155306,Dez25->Jan26,122682046.67000002,130162295.05000001,1684472.8199999332,254528814.53999996,351237433.7799998,-130162295.05000001,-1684472.8199999332,219390665.90999985,317415249.86000013,-62886435.32000017,-0.1981203970122324
63,PINE - PRUDENCIAL,1147384533.89,1455223155.77,1445521428.78,1608010402.63,307838621.8799999,-9701726.99000001,162488973.85000014,460625868.74,0.40145727533761605,Dez25->Jan26,36390692.870000124,32586268.77999997,81816252.7399993,150793214.3899994,271447929.00999975,-42287995.76999998,80672721.11000085,309832654.3500006,73477326.13999939,77315888.25,1.0522414506848934
35,AGIBANK - PRUDENCIAL,4834022945.76,5277182537.76,5272435398.86,5277239997.1,443159592.0,-4747138.900000572,4804598.240000725,443217051.34000015,0.09168699783039984,Dez25->Jan26,51569722.379999876,51675906.660000086,38825742.44000006,142071371.48000002,391589869.6200001,-56423045.56000066,-34021144.19999933,301145679.86000013,348772488.62000036,-206701117.14000034,-0.5926531589629145
53,ORIGINAL - PRUDENCIAL,1792476703.73,2060633031.32,2167620218.64,2164632317.71,268156327.5899999,106987187.31999993,-2987900.9299998283,372155613.98,0.2076208930389857,Dez25->Jan26,66576544.30000019,21008487.319999695,21143013.04000044,108728044.66000032,201579783.28999972,85978700.00000024,-24130913.970000267,263427569.3199997,16521586.400000095,92206458.26000023,5.580968802124214
54,PORTO SEGURO - PRUDENCIAL,1747570799.92,1973472274.72,1960470645.89,2115538055.21,225901474.79999995,-13001628.829999924,155067409.31999993,367967255.28999996,0.21055928338173463,Dez25->Jan26,6366256.469999909,37542544.20000017,43776803.869999886,87685604.53999996,219535218.33000004,-50544173.03000009,111290605.45000005,280281650.75,143473026.2099998,-55787421.66999984,-0.3888356100354671
22,INTER - PRUDENCIAL,6800635820.7,7381644333.35,7339073727.32,7120256201.82,581008512.6500006,-42570606.03000069,-218817525.5,319620381.1199999,0.04699860271110663,Dez25->Jan26,81599185.55999994,82073578.46999979,174087070.46000004,337759834.4899998,499409327.0900006,-124644184.50000048,-392904595.96000004,-18139453.369999886,217689371.9500003,120070462.53999949,0.5515678669309484
