SEGMENTO;-;
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;SITUAÇÃO;
250699;"AGK CORRETORA DE CAMBIO S.A.";"RUA DOUTOR RAFAEL DE BARROS 209";"CJ. 91 E 92 - 9 ANDAR";"PARAÍSO";"04003041";"SAO PAULO";"SP";"Brasil";-;-;"https://www.agkcorretora.com.br";"Autorizada em Atividade";
36321990;"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"RUA DAS PALMEIRAS, 685";"ED.CONTEMPORÂNEO EMPRESARIAL,SL1002/3, 1007 A1011";"SANTA LÚCIA";"29056210";"VITORIA";"ES";"Brasil";-;-;"https://www.agoracred.com.br";"Autorizada em Atividade";
43774196;"AGROLEND SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.";"RUA JOAQUIM FLORIANO 960";"ANDAR 11";"ITAIM BIBI";"04534004";"SAO PAULO";"SP";"Brasil";-;-;"https://agrolend.agr.br/";"Autorizada em Atividade";
32246162;"AIBR INSTITUIÇÃO DE PAGAMENTO LTDA.";"AV. BRIGADEIRO FARIA LIMA";"1485 ANDAR 1 E 2";"JARDIM PAULISTANO";"01452002";"SAO PAULO";"SP";"Brasil";-;-;"https://www.antom.com/br";"Pendente de Validação";
27214112;"AL5 S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"AVENIDA ANDRÉ ANTÔNIO MAGGI, N- 303";"5- ANDAR";"ALVORADA";"78049080";"CUIABA";"MT";"Brasil";-;-;"https://www.al5amaggi.com.br";"Autorizada em Atividade";
38316293;"ALESTA SOCIEDADE DE CREDITO DIRETO S.A.";"RUA JORGE DE FIGUEIREDO CORREA";-;"JD. PROFA TARCÍLIA";"13087397";"CAMPINAS";"SP";"Brasil";-;-;"https://www.alesta.com.br";"Autorizada em Atividade";
46570800;"ALFA ARRENDAMENTO MERCANTIL S.A.";"AVENIDA PAULISTA, 2.150";"17 ANDAR";"BELA VISTA";"01310300";"SAO PAULO";"SP";"Brasil";-;-;"https://www.safra.com.br/chat-ouvidoria.htm";"Autorizada em Atividade";
62178421;"ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.";"AVENIDA PAULISTA, 2.150";"17 ANDAR";"BELA VISTA";"01310300";"SAO PAULO";"SP";"Brasil";-;-;"https://www.safra.com.br/chat-ouvidoria.htm";"Autorizada em Atividade";
51414521;"ALL IN CRED SOCIEDADE DE CREDITO DIRETO S.A.";"RUA JOSE MARIA LISBOA 747";"CONJUNTO 107";"JARDIM PAULISTA";"01423001";"SAO PAULO";"SP";"Brasil";-;-;"https://www.zilicred.com.br";"Autorizada em Atividade";
90982679;"ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.";"AV. SETE DE SETEMBRO, 665";-;"CENTRO";"99700000";"ERECHIM";"RS";"Brasil";-;-;"https://www.alphadministradora.com.br";"Autorizada em Atividade";
